mode,MiB_s_median,MiB_s_min,MiB_s_max,effective_cores_median,effective_cores_min,effective_cores_max,cpu_us_op_median,cpu_us_op_min,cpu_us_op_max,peak_tasks_median,peak_tasks_min,peak_tasks_max,peak_go_threads_median,peak_go_threads_min,peak_go_threads_max,voluntary_cs_median,voluntary_cs_min,voluntary_cs_max,involuntary_cs_median,involuntary_cs_min,involuntary_cs_max,total_enter_calls_per_operation_median,total_enter_calls_per_operation_min,total_enter_calls_per_operation_max,throughput_over_blocking,throughput_over_forced_default
blocking,14272.532807161355,14100.054195734809,14411.883152494638,3.4763262718116756,3.449247828646644,3.5680421726706446,244.6265653141974,243.5675796847636,247.57640170382805,22,22,23,22,22,23,93648,89205,104135,69996,63497,70641,,,,1.0,1.28445177943434
normal,8684.291334865398,7093.452837503563,9144.062369016921,1.0340851719020556,1.011863045516173,1.0401731215713954,119.07536631693198,113.75393994422465,142.6474622015367,8,8,8,8,8,8,9826,8173,11156,863,814,2240,0.004024963820549928,0.003993280273195451,0.00404263138552003,0.6084618232937595,0.7815398716475324
U1,8899.875410885948,8795.620868234964,8934.362739588541,1.2714435614402773,1.267957971503901,1.2730886064728475,142.86082700496027,142.4934988179669,144.1578702059659,10,10,11,9,9,10,262523,259779,263736,4887,3238,4907,1.9636452414772727,1.9630832711470085,1.9671657473075912,0.6235666458878529,0.8009412879065557
U2,10427.73574190563,8354.948502188125,10676.15238108646,2.323026615849795,1.925481642876784,2.346791355401365,222.77382869555447,219.8162101506595,230.46002526197606,12,12,13,10,10,11,272416,197179,275928,28831,25688,101445,1.761299461010651,1.4963978293413174,1.7665255982921988,0.7306156435439007,0.9384405634325288
U4,10991.043218760258,10980.48650850693,11024.185702439965,3.6411009813764816,3.585703762769975,3.6466531831104616,330.78662511130904,326.238710138966,331.5974186167075,14,14,15,10,10,11,245809,245727,253672,212562,206556,219029,1.4785927528200362,1.478547028419151,1.5017631344612645,0.7700835841305907,0.9891352299497116
U8,11073.614982979472,10743.15137237177,11089.363157759608,3.5492485162724203,3.3990834681951085,3.6192210864074696,320.51398949012923,316.3953806828556,326.3687043989516,19,19,20,11,11,12,172154,172090,183993,138548,128246,141993,1.0501369362789847,1.032372317064532,1.0795164039198977,0.7758689457993888,0.9965662480398705
U16,11069.631480299857,9690.678403253934,11117.200712395028,3.601059178750996,2.6865749330043145,3.6316270137930626,325.30976168083333,277.2329058100016,326.66739656359823,28,27,28,12,11,12,144435,139547,145461,98266,75540,101520,0.798999165971643,0.7972946723410267,0.840649781518045,0.7755898430827626,0.996207754058855
U32,10810.79163195257,10533.968246871125,10925.947361088236,3.3929533645947134,3.25465955067317,3.4656415226201793,313.8487430066119,308.96804265950703,317.1936865596429,43,42,44,11,10,12,112518,108971,116762,56403,55867,59756,0.6334919712272034,0.6298682600244763,0.69474587015699,0.7574543199878421,0.9729135491486116
U64,10942.378769834448,10874.247957422618,11197.517555613522,3.517227395589124,3.4765110436059072,3.6227800880898777,321.4316986801159,319.7012848353239,323.53421819586356,74,73,75,10,9,11,82767,74432,91548,33202,28876,35039,0.4903003981179877,0.42105733805487,0.5026159626391377,0.7666739266028538,0.9847556892709481
default,11111.770045152523,10940.657058655017,11130.970474620823,3.553019242932531,3.476918660956544,3.6105710219655123,319.7527692253247,317.79797523275784,324.3716287090867,205,182,220,10,9,10,35819,27618,36608,29118,28177,30468,0.13977067629260007,0.102901563771129,0.1800451579639803,0.7785422668341744,1.0
