mode,repetition,MiB_s,wall_s,user_cpu_s,system_cpu_s,process_cpu_s,effective_cores,cpu_us_op,peak_tasks,peak_go_threads,peak_not_in_go,peak_runnable,voluntary_cs,involuntary_cs,average_submit_batch_size,submit_batch_size_max,cqes_per_completion_drain,completion_batch_size_max,submit_enter_calls,wait_enter_calls,total_enter_calls_per_operation,force_async,lock_submitter_thread,record_issuer_tids,worker_config
blocking,1,14272.532807161355,5.000864315,0.345267,17.039369,17.384636,3.4763262718116756,243.5675796847636,22,22,16,1001,89205,63497,,,,,,,,,,,null
blocking,2,14411.883152494638,5.000942572,0.320276,17.523298,17.843574,3.5680421726706446,247.57640170382805,23,23,15,999,93648,69996,,,,,,,,,,,null
blocking,3,14100.054195734809,5.000902764,0.372062,16.877291,17.249353,3.449247828646644,244.6265653141974,22,22,14,999,104135,70641,,,,,,,,,,,null
normal,1,9144.062369016921,5.05869253,0.193271,5.068645,5.261916,1.0401731215713954,113.75393994422465,8,8,2,200,11156,863,492.09574468085106,751,492.09574468085106,751,94,93,0.00404263138552003,False,False,False,"{""bounded_worker_limit_requested"": false, ""iowq_worker_limit_query_attempted"": true, ""iowq_worker_limit_registration_attempted"": false, ""iowq_worker_limit_registration_supported"": true, ""post_set_bounded_worker_max"": null, ""post_set_query_error"": """", ""post_set_unbounded_worker_max"": null, ""previous_bounded_worker_max"": 16, ""previous_unbounded_worker_max"": 63206, ""query_error"": """", ""registration_error"": """", ""registration_returned_bounded_worker_max"": null, ""registration_returned_unbounded_worker_max"": null, ""requested_bounded_worker_max"": null, ""requested_unbounded_worker_max"": null, ""unbounded_worker_limit_requested"": false}"
normal,2,8684.291334865398,5.09241322,0.188433,5.077556,5.265989,1.0340851719020556,119.07536631693198,8,8,2,201,9826,814,491.3777777777778,782,491.3777777777778,782,90,88,0.004024963820549928,False,False,False,"{""bounded_worker_limit_requested"": false, ""iowq_worker_limit_query_attempted"": true, ""iowq_worker_limit_registration_attempted"": false, ""iowq_worker_limit_registration_supported"": true, ""post_set_bounded_worker_max"": null, ""post_set_query_error"": """", ""post_set_unbounded_worker_max"": null, ""previous_bounded_worker_max"": 16, ""previous_unbounded_worker_max"": 63206, ""query_error"": """", ""registration_error"": """", ""registration_returned_bounded_worker_max"": null, ""registration_returned_unbounded_worker_max"": null, ""requested_bounded_worker_max"": null, ""requested_unbounded_worker_max"": null, ""unbounded_worker_limit_requested"": false}"
normal,3,7093.452837503563,5.118945714,0.150905,5.028767,5.179672,1.011863045516173,142.6474622015367,8,8,2,793,8173,2240,453.8875,1000,490.68918918918916,1000,80,65,0.003993280273195451,False,False,False,"{""bounded_worker_limit_requested"": false, ""iowq_worker_limit_query_attempted"": true, ""iowq_worker_limit_registration_attempted"": false, ""iowq_worker_limit_registration_supported"": true, ""post_set_bounded_worker_max"": null, ""post_set_query_error"": """", ""post_set_unbounded_worker_max"": null, ""previous_bounded_worker_max"": 16, ""previous_unbounded_worker_max"": 63206, ""query_error"": """", ""registration_error"": """", ""registration_returned_bounded_worker_max"": null, ""registration_returned_unbounded_worker_max"": null, ""requested_bounded_worker_max"": null, ""requested_unbounded_worker_max"": null, ""unbounded_worker_limit_requested"": false}"
U1,1,8934.362739588541,5.113291382,0.680125,5.829548,6.509673,1.2730886064728475,142.4934988179669,10,9,2,3,263736,3238,1.0310786106032908,599,1.0031400276673768,20,44307,45561,1.9671657473075912,True,True,False,"{""bounded_worker_limit_requested"": false, ""iowq_worker_limit_query_attempted"": true, ""iowq_worker_limit_registration_attempted"": true, ""iowq_worker_limit_registration_supported"": true, ""post_set_bounded_worker_max"": 16, ""post_set_query_error"": """", ""post_set_unbounded_worker_max"": 1, ""previous_bounded_worker_max"": 16, ""previous_unbounded_worker_max"": 63206, ""query_error"": """", ""registration_error"": """", ""registration_returned_bounded_worker_max"": 16, ""registration_returned_unbounded_worker_max"": 63206, ""requested_bounded_worker_max"": 16, ""requested_unbounded_worker_max"": 1, ""unbounded_worker_limit_requested"": true}"
U1,2,8795.620868234964,5.122549127,0.722861,5.772316,6.495177,1.267957971503901,144.1578702059659,11,10,2,5,259779,4907,1.03100615546555,374,1.0062758235622558,9,43701,44773,1.9636452414772727,True,True,False,"{""bounded_worker_limit_requested"": false, ""iowq_worker_limit_query_attempted"": true, ""iowq_worker_limit_registration_attempted"": true, ""iowq_worker_limit_registration_supported"": true, ""post_set_bounded_worker_max"": 16, ""post_set_query_error"": """", ""post_set_unbounded_worker_max"": 1, ""previous_bounded_worker_max"": 16, ""previous_unbounded_worker_max"": 63206, ""query_error"": """", ""registration_error"": """", ""registration_returned_bounded_worker_max"": 16, ""registration_returned_unbounded_worker_max"": 63206, ""requested_bounded_worker_max"": 16, ""requested_unbounded_worker_max"": 1, ""unbounded_worker_limit_requested"": true}"
U1,3,8899.875410885948,5.119397508,0.71739,5.791635,6.509025,1.2714435614402773,142.86082700496027,10,9,2,9,262523,4887,1.0300687285223367,766,1.0076967311009863,12,44232,45210,1.9630832711470085,True,True,False,"{""bounded_worker_limit_requested"": false, ""iowq_worker_limit_query_attempted"": true, ""iowq_worker_limit_registration_attempted"": true, ""iowq_worker_limit_registration_supported"": true, ""post_set_bounded_worker_max"": 16, ""post_set_query_error"": """", ""post_set_unbounded_worker_max"": 1, ""previous_bounded_worker_max"": 16, ""previous_unbounded_worker_max"": 63206, ""query_error"": """", ""registration_error"": """", ""registration_returned_bounded_worker_max"": 16, ""registration_returned_unbounded_worker_max"": 63206, ""requested_bounded_worker_max"": 16, ""requested_unbounded_worker_max"": 1, ""unbounded_worker_limit_requested"": true}"
U2,1,10676.15238108646,5.091815671,1.158768,10.790661,11.949429,2.346791355401365,219.8162101506595,12,10,2,14,275928,25688,1.1215159579955025,778,1.1173895169578623,14,48471,47275,1.761299461010651,True,True,False,"{""bounded_worker_limit_requested"": false, ""iowq_worker_limit_query_attempted"": true, ""iowq_worker_limit_registration_attempted"": true, ""iowq_worker_limit_registration_supported"": true, ""post_set_bounded_worker_max"": 16, ""post_set_query_error"": """", ""post_set_unbounded_worker_max"": 2, ""previous_bounded_worker_max"": 16, ""previous_unbounded_worker_max"": 63206, ""query_error"": """", ""registration_error"": """", ""registration_returned_bounded_worker_max"": 16, ""registration_returned_unbounded_worker_max"": 63206, ""requested_bounded_worker_max"": 16, ""requested_unbounded_worker_max"": 2, ""unbounded_worker_limit_requested"": true}"
