row_type,part,mode,repetition,MiB_s,wall_s,user_cpu_s,system_cpu_s,process_cpu_s,effective_cores,cpu_us_op,residency_before_ppm,residency_after_dontneed_ppm,residency_after_prewarm_ppm,residency_before_measurement_ppm,slow_start_mostly_nonresident,peak_process_tasks,peak_go_threads,peak_not_in_go,peak_runnable,voluntary_cs,involuntary_cs,average_submit_batch,max_submit_batch,average_cq_drain,max_cq_drain,submit_enter_calls,wait_enter_calls,enter_op,force_async,lock_submitter_thread,record_issuer_tids,worker_config
run,slow,blocking,1,40076.899783825866,5.000860872,0.344129,34.629195,34.973324000000005,6.993460705099178,174.50104032052852,1000000,0,,0,True,74,74,58,996,34659,25572,,,,,,,,,,,null
run,slow,blocking,2,39441.573303934216,5.000764003,0.357327,34.801588,35.158915,7.0307087034916815,178.25629442602337,1000000,0,,0,True,131,131,116,997,36595,24639,,,,,,,,,,,null
run,slow,blocking,3,38038.30387810916,5.000748735,0.360926,34.739311,35.100237,7.018996326357117,184.52442960782253,1000000,0,,0,True,164,164,155,998,37973,24323,,,,,,,,,,,null
run,slow,normal,1,6397.266983983612,5.113902559,0.206527,5.238689,5.445216,1.0647868114766714,166.44401650618983,1000000,0,,0,True,8,8,2,95,8736,33,474.1304347826087,1000,380.40697674418607,999,69,71,0.004279382546232615,False,False,False,"{""bounded_worker_limit_requested"": false, ""iowq_worker_limit_query_attempted"": true, ""iowq_worker_limit_registration_attempted"": false, ""iowq_worker_limit_registration_supported"": true, ""post_set_bounded_worker_max"": null, ""post_set_query_error"": """", ""post_set_unbounded_worker_max"": null, ""previous_bounded_worker_max"": 32, ""previous_unbounded_worker_max"": 56743, ""query_error"": """", ""registration_error"": """", ""registration_returned_bounded_worker_max"": null, ""registration_returned_unbounded_worker_max"": null, ""requested_bounded_worker_max"": null, ""requested_unbounded_worker_max"": null, ""unbounded_worker_limit_requested"": false}"
run,slow,normal,2,6450.55830069056,5.123587519,0.221589,5.241516,5.463105,1.0662655765595794,165.2981845688351,1000000,0,,0,True,8,8,2,109,10289,28,486.02941176470586,1000,367.22222222222223,1000,68,81,0.004508320726172466,False,False,False,"{""bounded_worker_limit_requested"": false, ""iowq_worker_limit_query_attempted"": true, ""iowq_worker_limit_registration_attempted"": false, ""iowq_worker_limit_registration_supported"": true, ""post_set_bounded_worker_max"": null, ""post_set_query_error"": """", ""post_set_unbounded_worker_max"": null, ""previous_bounded_worker_max"": 32, ""previous_unbounded_worker_max"": 56743, ""query_error"": """", ""registration_error"": """", ""registration_returned_bounded_worker_max"": null, ""registration_returned_unbounded_worker_max"": null, ""requested_bounded_worker_max"": null, ""requested_unbounded_worker_max"": null, ""unbounded_worker_limit_requested"": false}"
run,slow,normal,3,6354.669508486323,5.075952409,0.226387,5.192731,5.419118,1.067606148235658,168.00341021825398,1000000,0,,0,True,8,8,2,97,9466,31,488.72727272727275,995,418.90909090909093,995,66,71,0.004247271825396825,False,False,False,"{""bounded_worker_limit_requested"": false, ""iowq_worker_limit_query_attempted"": true, ""iowq_worker_limit_registration_attempted"": false, ""iowq_worker_limit_registration_supported"": true, ""post_set_bounded_worker_max"": null, ""post_set_query_error"": """", ""post_set_unbounded_worker_max"": null, ""previous_bounded_worker_max"": 32, ""previous_unbounded_worker_max"": 56743, ""query_error"": """", ""registration_error"": """", ""registration_returned_bounded_worker_max"": null, ""registration_returned_unbounded_worker_max"": null, ""requested_bounded_worker_max"": null, ""requested_unbounded_worker_max"": null, ""unbounded_worker_limit_requested"": false}"
run,resident,blocking,1,42119.580094993275,5.00095204,0.335192,38.748969,39.084161,7.815344095961377,185.55132976955724,1000000,,1000000,1000000,False,37,37,30,993,21076,24570,,,,,,,,,,,null
run,resident,blocking,2,41520.955334229526,5.000896495,0.349283,38.559607,38.90889,7.780382985111152,187.3844886872598,1000000,,1000000,1000000,False,34,34,26,993,22700,24125,,,,,,,,,,,null
run,resident,blocking,3,41558.00613054495,5.001009898,0.307949,38.954042,39.261991,7.850812496032376,188.91215500981562,1000000,,1000000,1000000,False,40,40,25,993,21332,24283,,,,,,,,,,,null
run,resident,normal,1,6550.743897093425,5.104458444,0.29307,5.206069,5.499139,1.077320750150082,164.45777259405466,1000000,,1000000,1000000,False,12,12,2,123,13892,116,491.7352941176471,563,491.7352941176471,563,68,67,0.004037322806387942,False,False,False,"{""bounded_worker_limit_requested"": false, ""iowq_worker_limit_query_attempted"": true, ""iowq_worker_limit_registration_attempted"": false, ""iowq_worker_limit_registration_supported"": true, ""post_set_bounded_worker_max"": null, ""post_set_query_error"": """", ""post_set_unbounded_worker_max"": null, ""previous_bounded_worker_max"": 32, ""previous_unbounded_worker_max"": 56743, ""query_error"": """", ""registration_error"": """", ""registration_returned_bounded_worker_max"": null, ""registration_returned_unbounded_worker_max"": null, ""requested_bounded_worker_max"": null, ""requested_unbounded_worker_max"": null, ""unbounded_worker_limit_requested"": false}"
