mode,repetition,outstanding,MiB_s,wall_s,user_cpu_s,system_cpu_s,cpu_wall,cpu_us_op,peak_tasks,peak_go_threads,peak_not_in_go,peak_runnable,voluntary_cs,involuntary_cs,after_dontneed_ppm,before_measurement_ppm,enter_op,avg_submit_batch,max_submit_batch,avg_cq_drain,max_cq_drain,worker_configuration
B4,1,4,6029.114543938385,5.000568455,0.225883,7.175914,1.4801911155918772,245.50721416962418,10,10,4,77,73616,45817,0,0,,,,,,
B4,2,4,6997.9963738267825,5.000431285,0.238108,8.83244,1.813953133844534,259.2103563569857,10,10,4,3,83008,52668,0,0,,,,,,
B4,3,4,8732.68306718216,5.00098305,0.266302,12.778066,2.6083607701889733,298.6895035720828,10,10,4,3,98737,67630,0,0,,,,,,
B16,1,16,7597.616693825869,5.001305216,0.297361,10.537872,2.1664810548527016,285.15271856413494,21,21,16,16,96550,45117,0,0,,,,,,
B16,2,16,7850.893553216132,5.000832037,0.272907,10.892934,2.232796646115391,284.40032092916636,21,21,16,16,106117,50327,0,0,,,,,,
B16,3,16,7616.452522688832,5.001015878,0.251078,10.530659,2.155909371819835,283.0595169335784,22,22,16,16,93869,48824,0,0,,,,,,
B64,1,64,8306.144048533342,5.000515252,0.27079,12.085292,2.470961766401588,297.4860238353196,70,70,64,221,100807,52546,0,0,,,,,,
B64,2,64,7880.184240341878,5.005086023,0.299771,10.533678,2.1644880727757276,274.67480540554243,69,69,64,64,106301,47340,0,0,,,,,,
B64,3,64,8464.188452684311,5.000833835,0.356073,12.300119,2.530816343350869,299.002835002835,69,69,64,64,97300,56833,0,0,,,,,,
B256,1,256,6651.108653004089,5.000670074,0.255573,8.527073,1.7562938306335463,264.06031268791344,261,261,256,934,93240,37291,0,0,,,,,,
B256,2,256,7914.452309648917,5.000851411,0.265248,11.068895,2.266442665156803,286.3675939260719,262,262,256,923,98402,44225,0,0,,,,,,
B256,3,256,8729.721496887065,5.001763231,0.291433,12.972968,2.651945001672551,303.78346005862954,262,262,256,935,96716,60886,0,0,,,,,,
B1000,1,1000,8685.558665659386,5.000944864,0.244957,10.13359,2.075317221493766,238.93882954231512,1005,1005,1000,1000,83578,37350,0,0,,,,,,
B1000,2,1000,10056.214944169493,5.009737787,0.28024,11.702097,2.3918092142653693,237.84388336410012,1006,1006,1000,1000,91477,48209,0,0,,,,,,
